Sun Mar 24 17:22:31 2024    prof.out

         1141209 function calls (1123906 primitive calls) in 2.888 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    516/1    0.024    0.000    2.889    2.889 {built-in method builtins.exec}
        1    0.000    0.000    2.889    2.889 simul.py:1(<module>)
       46    0.003    0.000    2.293    0.050 __init__.py:1(<module>)
    455/4    0.006    0.000    1.447    0.362 <frozen importlib._bootstrap>:1165(_find_and_load)
    452/4    0.003    0.000    1.447    0.362 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    440/4    0.003    0.000    1.444    0.361 <frozen importlib._bootstrap>:666(_load_unlocked)
    388/4    0.002    0.000    1.444    0.361 <frozen importlib._bootstrap_external>:934(exec_module)
   1046/6    0.001    0.000    1.443    0.241 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    1.442    1.442 simul.py:89(benchmark)
        1    1.438    1.438    1.438    1.438 simul.py:18(evolve)
   452/25    0.001    0.000    1.239    0.050 {built-in method builtins.__import__}
  635/148    0.002    0.000    1.233    0.008 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.765    0.765 pyplot.py:1(<module>)
1518/1401    0.030    0.000    0.625    0.000 {built-in method builtins.__build_class__}
      105    0.002    0.000    0.439    0.004 artist.py:159(_update_set_signature_and_docstring)
      104    0.001    0.000    0.430    0.004 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.371    0.371 figure.py:1(<module>)
      117    0.001    0.000    0.341    0.003 artist.py:1837(kwdoc)
        1    0.000    0.000    0.314    0.314 colorbar.py:1(<module>)
      117    0.008    0.000    0.294    0.003 artist.py:1598(pprint_setters)
      388    0.006    0.000    0.267    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
     4252    0.020    0.000    0.241    0.000 artist.py:1470(get_valid_values)
        1    0.000    0.000    0.179    0.179 contour.py:1(<module>)
     7308    0.109    0.000    0.171    0.000 inspect.py:867(cleandoc)
        1    0.000    0.000    0.162    0.162 backend_bases.py:1(<module>)
     7315    0.011    0.000    0.162    0.000 inspect.py:848(getdoc)
      388    0.002    0.000    0.152    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.141    0.141 text.py:1(<module>)
      447    0.006    0.000    0.132    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.120    0.120 _axes.py:1(<module>)
        1    0.000    0.000    0.120    0.120 rcsetup.py:1(<module>)
      427    0.001    0.000    0.119    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      427    0.002    0.000    0.118    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      388    0.118    0.000    0.118    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.114    0.114 rewrite.py:1(<module>)
      223    0.001    0.000    0.110    0.000 artist.py:1422(__init__)
        1    0.000    0.000    0.109    0.109 collections.py:1(<module>)
      709    0.010    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
      223    0.018    0.000    0.108    0.000 artist.py:1442(get_aliases)
     6837    0.009    0.000    0.086    0.000 __init__.py:272(_compile)
  440/436    0.001    0.000    0.085    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.084    0.084 _base.py:1(<module>)
        1    0.000    0.000    0.081    0.081 patches.py:1(<module>)
        1    0.000    0.000    0.079    0.079 axes3d.py:1(<module>)
      388    0.002    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      388    0.075    0.000    0.075    0.000 {built-in method marshal.loads}
      227    0.002    0.000    0.071    0.000 _compiler.py:740(compile)
      223    0.024    0.000    0.071    0.000 artist.py:1517(get_setters)
        3    0.001    0.000    0.070    0.023 core.py:1(<module>)
     5768    0.006    0.000    0.069    0.000 __init__.py:173(search)
        3    0.000    0.000    0.067    0.022 util.py:1(<module>)
     1705    0.001    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1716    0.065    0.000    0.065    0.000 {built-in method nt.stat}
        9    0.000    0.000    0.065    0.007 _base.py:729(__init_subclass__)
       30    0.000    0.000    0.061    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
       30    0.054    0.002    0.060    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.060    0.060 __config__.py:1(<module>)
        1    0.000    0.000    0.059    0.059 colors.py:1(<module>)
       30    0.009    0.000    0.059    0.002 __init__.py:847(_rc_params_in_file)
        1    0.000    0.000    0.055    0.055 _fontconfig_pattern.py:1(<module>)
2038/1854    0.003    0.000    0.054    0.000 typing.py:359(inner)
      136    0.001    0.000    0.049    0.000 _docstring.py:38(__call__)
  126/115    0.000    0.000    0.048    0.000 _docstring.py:79(__call__)
        2    0.000    0.000    0.044    0.022 main.py:1(<module>)
     3487    0.029    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        2    0.000    0.000    0.044    0.022 core.py:206(read_style_directory)
      227    0.001    0.000    0.043    0.000 _parser.py:979(parse)
        1    0.000    0.000    0.043    0.043 code.py:1(<module>)
      665    0.002    0.000    0.043    0.000 inspect.py:3278(signature)
      665    0.001    0.000    0.041    0.000 inspect.py:3024(from_callable)
  493/227    0.002    0.000    0.041    0.000 _parser.py:456(_parse_sub)
        1    0.000    0.000    0.040    0.040 art3d.py:1(<module>)
  744/665    0.006    0.000    0.040    0.000 inspect.py:2428(_signature_from_callable)
  523/230    0.016    0.000    0.039    0.000 _parser.py:516(_parse)
       12    0.000    0.000    0.039    0.003 _docstring.py:51(__missing__)
        1    0.000    0.000    0.037    0.037 index_tricks.py:1(<module>)
      223    0.020    0.000    0.036    0.000 artist.py:1453(<listcomp>)
        1    0.000    0.000    0.034    0.034 geo.py:1(<module>)
       35    0.000    0.000    0.033    0.001 dataclasses.py:1219(wrap)
       35    0.002    0.000    0.033    0.001 dataclasses.py:884(_process_class)
       75    0.000    0.000    0.033    0.000 __init__.py:225(compile)
        1    0.000    0.000    0.032    0.032 _axes.py:46(Axes)
     9934    0.031    0.000    0.031    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.030    0.030 defmatrix.py:1(<module>)
        2    0.000    0.000    0.030    0.015 _adapters.py:1(<module>)
        1    0.000    0.000    0.028    0.028 axis.py:1(<module>)
        1    0.000    0.000    0.028    0.028 linalg.py:1(<module>)
      651    0.010    0.000    0.028    0.000 inspect.py:2333(_signature_from_function)
        1    0.000    0.000    0.027    0.027 Image.py:1(<module>)
        1    0.000    0.000    0.027    0.027 offsetbox.py:1(<module>)
        2    0.000    0.000    0.026    0.013 utils.py:1(<module>)
        1    0.000    0.000    0.026    0.026 message.py:1(<module>)
      388    0.026    0.000    0.026    0.000 {method 'read' of '_io.BufferedReader' objects}
      973    0.002    0.000    0.026    0.000 __init__.py:711(__setitem__)
      451    0.026    0.000    0.026    0.000 {built-in method builtins.dir}
      227    0.001    0.000    0.025    0.000 _compiler.py:573(_code)
  429/305    0.000    0.000    0.025    0.000 typing.py:486(__getitem__)
     6074    0.015    0.000    0.025    0.000 inspect.py:2686(__init__)
        1    0.000    0.000    0.024    0.024 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.024    0.024 _pickle.py:1(<module>)
   106682    0.024    0.000    0.024    0.000 {method 'startswith' of 'str' objects}
      766    0.004    0.000    0.023    0.000 typing.py:1360(__init__)
        1    0.000    0.000    0.023    0.023 polar.py:1(<module>)
      440    0.003    0.000    0.022    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      776    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      437    0.001    0.000    0.022    0.000 artist.py:1536(number_of_parameters)
      304    0.002    0.000    0.022    0.000 typing.py:665(Union)
    71170    0.022    0.000    0.022    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.022    0.022 lines.py:1(<module>)
      562    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      125    0.001    0.000    0.021    0.000 dataclasses.py:413(_create_fn)
        1    0.000    0.000    0.021    0.021 image.py:1(<module>)
    30/25    0.000    0.000    0.021    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
    30/25    0.004    0.000    0.021    0.001 {built-in method _imp.exec_dynamic}
      515    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       94    0.001    0.000    0.020    0.000 __init__.py:1391(_preprocess_data)
      954    0.001    0.000    0.020    0.000 artist.py:1542(is_alias)
157921/156736    0.019    0.000    0.019    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.019    0.019 category.py:1(<module>)
        1    0.000    0.000    0.019    0.019 font_manager.py:1(<module>)
        1    0.000    0.000    0.018    0.018 spines.py:1(<module>)
      105    0.004    0.000    0.018    0.000 artist.py:170(<listcomp>)
 1152/227    0.008    0.000    0.018    0.000 _compiler.py:37(_compile)
    75554    0.014    0.000    0.018    0.000 {built-in method builtins.isinstance}
     4252    0.008    0.000    0.017    0.000 artist.py:1555(aliased_name)
      479    0.000    0.000    0.016    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.016    0.016 axis3d.py:1(<module>)
       60    0.000    0.000    0.016    0.000 __init__.py:829(_open_file_or_url)
        1    0.000    0.000    0.015    0.015 textpath.py:1(<module>)
2922/2484    0.007    0.000    0.015    0.000 {built-in method __new__ of type object at 0x00007FFC9FC4D4C0}
       33    0.000    0.000    0.015    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.015    0.015 _parser.py:1(<module>)
       32    0.015    0.000    0.015    0.000 {built-in method io.open}
      388    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
17088/17075    0.012    0.000    0.015    0.000 {method 'join' of 'str' objects}
